Module,YangTree,SwaggerAPI,SwaggerFile
aaa,YES,YES,native-line.json
acl,YES,YES,native-line.json
adsl,YES,NO,
alarm-profile,YES,NO,
app-hosting,YES,NO,
arp,YES,NO,
atm,YES,NO,
avb,YES,YES,native-other.json
bba-group,YES,NO,
bfd,YES,YES,native-protocols.json
bgp,YES,YES,native-router.json
bridge-domain,YES,YES,native-switching-l2.json
bridge,YES,YES,native-switching-l2.json
buffers,YES,NO,
call-home,YES,YES,native-other.json
card,YES,YES,native-platform-system.json
cdp,YES,YES,native-protocols.json
cef,YES,YES,native-other.json
cellular,YES,NO,
clns,YES,YES,native-protocols.json
coap,YES,NO,
controller,YES,YES,native-other.json
crypto,YES,YES,native-crypto.json
cts,YES,YES,native-security-access.json
cwmp,YES,YES,native-other.json
dapr,YES,NO,
device-sensor,YES,YES,native-security-access.json
device-tracking,YES,YES,native-security-access.json
dhcp,YES,YES,native-ip.json
diagnostics,YES,NO,
dialer,YES,NO,
digitalio,YES,NO,
dlr,YES,NO,
dot1x,YES,YES,native-security-access.json
dying-gasp,YES,NO,
eem,YES,YES,native-security-access.json
eigrp-obsolete,NO,NO,
eigrp,YES,YES,native-router.json
eta,YES,YES,native-other.json
ethernet-cfm-efp,NO,NO,
ethernet-oam,NO,NO,
ethernet,YES,YES,native-switching-l2.json
ethinternal-subslot,YES,NO,
ezpm,YES,NO,
features,NO,YES,native-switching-l2.json
flow,YES,YES,native-00-top-level-leafs.json
fqdn,YES,NO,
frame-relay,YES,YES,native-protocols.json
geo,YES,NO,
gnss,YES,NO,
group-policy,YES,NO,
hsrp,YES,YES,native-other.json
http,YES,YES,native-switching-l2.json
icmp,YES,NO,
ida,YES,NO,
igmp,YES,NO,
interfaces,YES,NO,
ip,YES,YES,native-switching-l2.json
ipc,YES,NO,
ipmux,YES,NO,
ipv6,YES,YES,native-other.json
irig,YES,NO,
isdn,YES,NO,
isg,YES,NO,
isis,YES,YES,native-router.json
iwanfabric,YES,NO,
kron,YES,NO,
l2nat,YES,NO,
l2vpn,YES,YES,native-protocols.json
l3nat-iox,YES,NO,
l3vpn,YES,YES,native-protocols.json
license,NO,YES,native-platform-system.json
line,YES,YES,native-line.json
lisp,YES,YES,native-router.json
lldp,YES,NO,
location,NO,YES,native-platform-system.json
logging,YES,YES,native-line.json
loop-detect,YES,NO,
lorawan,YES,NO,
lte450,YES,NO,
mdns-gateway,YES,NO,
mka,YES,YES,native-security-access.json
mld,YES,NO,
mmode,YES,NO,
mobileip,YES,NO,
mpls,YES,YES,native-other.json
mrp,YES,NO,
multicast,YES,NO,
mvrp,YES,YES,native-protocols.json
nam,YES,YES,native-switching-l2.json
nat,YES,YES,native-switching-l2.json
nbar,YES,NO,
nd,YES,YES,native-switching-l2.json
nhrp,YES,NO,
ntp,YES,YES,native-protocols.json
object-group,YES,YES,native-other.json
ospf-obsolete,NO,NO,
ospf,YES,YES,native-router.json
ospfv3,YES,NO,
otv,YES,YES,native-switching-l2.json
pae,YES,NO,
parser,NO,YES,native-other.json
pathmgr,YES,NO,
perf-measure,YES,NO,
pfr,YES,YES,native-other.json
platform,YES,YES,native-00-top-level-leafs.json
pnp,YES,NO,
policy,YES,YES,native-crypto.json
power,YES,YES,native-platform-system.json
ppp,YES,YES,native-protocols.json
pppoe,YES,NO,
prp,YES,NO,
ptp,YES,YES,native-protocols.json
qfp-stats,YES,NO,
qos,YES,YES,native-00-top-level-leafs.json
rawsocket,YES,NO,
rip,YES,YES,native-switching-l2.json
rmi-dad,YES,NO,
route-map,YES,YES,native-other.json
rsvp,YES,NO,
sanet,YES,NO,
scada-gw,YES,YES,native-other.json
segment-routing,YES,YES,native-other.json
serial,YES,YES,native-other.json
service-discovery,YES,NO,
service-insertion,YES,YES,native-other.json
service-routing,YES,NO,
sip-ua,NO,NO,
sisf,NO,NO,
site-manager,YES,NO,
sla,YES,YES,native-00-top-level-containers.json
snmp,YES,YES,native-other.json
spanning-tree,YES,YES,native-switching-l2.json
stackwise-virtual,YES,YES,native-other.json
switch,YES,YES,native-switching-l2.json
synce,YES,NO,
template,YES,YES,native-other.json
track,YES,YES,native-other.json
transceiver-monitor,NO,NO,
transport,NO,YES,native-switching-l2.json
tunnel,YES,YES,native-protocols.json
ucse,YES,NO,
udld,YES,YES,native-protocols.json
umbrella,YES,NO,
uplink-autoconfig,YES,NO,
utd,YES,YES,native-switching-l2.json
vlan,YES,YES,native-switching-l2.json
voice-class,NO,NO,
voice-dspfarm,NO,NO,
voice-port,YES,NO,
voice-register,NO,NO,
voice,YES,YES,native-00-top-level-containers.json
vpdn,YES,NO,
vrrp,YES,YES,native-other.json
vservice,YES,NO,
vstack,YES,NO,
vtp,YES,YES,native-switching-l2.json
vxlan,YES,YES,native-switching-l2.json
wccp,YES,NO,
wsma,YES,YES,native-other.json
zone,YES,YES,native-platform-system.json

